category,sleeveType,premium,costPrice,price
saia,unknown,no,39,41
vestido jeans solto curto,Manga curta,no,28,33
vestido jeans colado medio,Manga curta,no,22,27
saia,unknown,no,17,30
blusa,Manga 3/4,no,34,35
cropped,regata,no,29,30
saia jeans,unknown,no,29,39
vestido jeans colado curto,Manga curta,no,39,40
vestido solto longo,Manga curta,yes,24,42
vestido colado curto,Uma manga só,no,25,30
leggings,unknown,no,22,32
vestido jeans solto medio,Uma manga só,no,15,20
calça jeans aladin,unknown,no,23,45
short,unknown,no,26,32
calça wide leg,unknown,no,17,30
vestido colado longo,Manga curta,no,34,47
calça jeans aladin,unknown,yes,15,50
jaqueta,Manga longa,no,22,37
short jeans,unknown,no,22,32
saia,unknown,no,20,30
t-shirt,unknown,no,29,31
calça jeans mom,unknown,no,46,47
vestido jeans solto medio,Uma manga só,no,24,29
short jeans,unknown,no,34,40
saia jeans,unknown,yes,21,36
vestido colado curto,Uma manga só,no,19,24
blazer,Manga longa,no,18,35
vestido jeans solto medio,Manga curta,no,18,23
macacao longo,regata,no,17,35
vestido jeans colado curto,Uma manga só,no,36,38
vestido solto medio,regata,no,20,25
vestido jeans colado medio,Manga curta,no,21,26
saia,unknown,no,37,39
saia,unknown,yes,28,35
calça skinny,unknown,no,37,40
macaquinho,Manga 3/4,yes,26,40
vestido jeans solto medio,Manga curta,yes,24,33
short jeans,unknown,no,26,36
saia,unknown,yes,24,35
calça jeans,unknown,no,40,50
calça jeans mom,unknown,no,36,50
short jeans,unknown,no,34,40
vestido colado curto,Manga longa,no,28,33
sueter,Manga longa,no,34,39
vestido jeans solto medio,regata,no,40,41
cropped,Manga longa,no,23,27
macacao longo,Manga curta,no,38,48
saia jeans,unknown,yes,25,40
macaquinho,Manga 3/4,no,32,40
vestido solto longo,Manga curta,no,33,46
short jeans,unknown,yes,25,39
blazer,Manga longa,no,48,49
calça jeans wide leg,unknown,no,31,50
calça jeans,unknown,no,41,50
vestido colado longo,Manga curta,no,31,45
calça aladin,unknown,no,18,30
calça jeans mom,unknown,no,46,48
vestido solto longo,regata,no,22,38
calça wide leg,unknown,yes,31,39
sueter,Manga longa,no,31,40
blazer,Manga longa,yes,49,50
t-shirt,unknown,no,26,28
saia jeans,unknown,yes,27,42
vestido solto medio,Manga 3/4,yes,29,39
short jeans,unknown,no,35,40
cropped,Manga curta,no,13,20
saia,unknown,yes,26,35
calça,unknown,no,33,37
vestido colado longo,Manga 3/4,no,18,33
vestido colado medio,Manga 3/4,no,28,33
vestido jeans solto medio,Manga curta,yes,38,44
vestido jeans colado curto,Uma manga só,no,18,23
blusa,Manga 3/4,no,21,26
leggings,unknown,no,24,33
vestido colado medio,regata,yes,30,39
short jeans,unknown,no,21,32
vestido solto longo,Manga 3/4,no,29,44
vestido solto curto,Manga longa,no,28,33
macaquinho,regata,yes,21,38
vestido jeans colado medio,Manga curta,no,27,32
macaquinho,regata,no,26,36
vestido jeans colado curto,Manga 3/4,no,24,29
vestido jeans solto medio,Manga longa,yes,25,35
saia,unknown,yes,24,36
vestido solto longo,Manga curta,yes,38,50
calça jeans aladin,unknown,no,32,50
jaqueta,Manga longa,no,38,48
macaquinho,Manga curta,no,30,39
vestido colado longo,regata,no,40,50
cropped,regata,yes,32,36
vestido colado curto,regata,no,38,39
saia jeans,unknown,no,28,38
sueter,Manga longa,no,30,40
short jeans,unknown,yes,16,35
cardigan,Manga longa,yes,17,36
calça,unknown,no,26,35
cropped,regata,yes,14,25
short,unknown,no,17,30
